data,hora,umidade_%
01/01/2000,00:00:01,0.00
01/01/2000,00:00:02,0.00
01/01/2000,00:00:03,0.00
01/01/2000,00:00:04,0.00
01/01/2000,00:00:05,2.00
01/01/2000,00:00:06,77.00
01/01/2000,00:00:07,72.00
01/01/2000,00:00:08,70.00
01/01/2000,00:00:09,0.00
01/01/2000,00:00:10,0.00
01/01/2000,00:00:11,0.00
01/01/2000,00:00:12,0.00
01/01/2000,00:00:13,0.00
01/01/2000,00:00:14,0.00
01/01/2000,00:00:15,0.00
01/01/2000,00:00:16,0.00
01/01/2000,00:00:17,74.00
01/01/2000,00:00:18,69.00
01/01/2000,00:00:19,68.00
01/01/2000,00:00:20,68.00
data,hora,umidade_%
01/01/2000,00:00:01,93.00
01/01/2000,00:00:02,92.00
01/01/2000,00:00:03,91.00
01/01/2000,00:00:04,90.00
01/01/2000,00:00:05,89.00
01/01/2000,00:00:06,89.00
01/01/2000,00:00:07,88.00
01/01/2000,00:00:08,87.00
01/01/2000,00:00:09,87.00
01/01/2000,00:00:10,86.00
01/01/2000,00:00:11,86.00
01/01/2000,00:00:12,85.00
01/01/2000,00:00:13,85.00
01/01/2000,00:00:14,84.00
01/01/2000,00:00:15,84.00
01/01/2000,00:00:16,84.00
01/01/2000,00:00:17,83.00
01/01/2000,00:00:18,83.00
01/01/2000,00:00:19,83.00
01/01/2000,00:00:20,82.00
01/01/2000,00:00:21,82.00
01/01/2000,00:00:22,82.00
01/01/2000,00:00:23,81.00
01/01/2000,00:00:24,81.00
01/01/2000,00:00:25,81.00
01/01/2000,00:00:26,80.00
01/01/2000,00:00:27,80.00
01/01/2000,00:00:28,80.00
01/01/2000,00:00:29,80.00
01/01/2000,00:00:30,80.00
01/01/2000,00:00:31,79.00
01/01/2000,00:00:32,79.00
01/01/2000,00:00:33,79.00
01/01/2000,00:00:34,79.00
01/01/2000,00:00:35,79.00
01/01/2000,00:00:36,78.00
01/01/2000,00:00:37,78.00
01/01/2000,00:00:38,78.00
01/01/2000,00:00:39,78.00
01/01/2000,00:00:40,78.00
01/01/2000,00:00:41,78.00
01/01/2000,00:00:42,78.00
01/01/2000,00:00:43,77.00
01/01/2000,00:00:44,77.00
01/01/2000,00:00:45,77.00
01/01/2000,00:00:46,77.00
01/01/2000,00:00:47,77.00
01/01/2000,00:00:48,77.00
01/01/2000,00:00:49,77.00
01/01/2000,00:00:50,77.00
01/01/2000,00:00:51,77.00
01/01/2000,00:00:52,77.00
01/01/2000,00:00:53,76.00
01/01/2000,00:00:54,76.00
01/01/2000,00:00:55,76.00
01/01/2000,00:00:56,76.00
01/01/2000,00:00:57,76.00
01/01/2000,00:00:58,76.00
01/01/2000,00:00:59,76.00
01/01/2000,00:01:00,76.00
01/01/2000,00:01:01,76.00
01/01/2000,00:01:02,76.00
01/01/2000,00:01:03,76.00
01/01/2000,00:01:04,75.00
01/01/2000,00:01:05,75.00
01/01/2000,00:01:06,75.00
01/01/2000,00:01:07,75.00
01/01/2000,00:01:08,75.00
01/01/2000,00:01:09,75.00
01/01/2000,00:01:10,75.00
01/01/2000,00:01:11,75.00
01/01/2000,00:01:12,75.00
01/01/2000,00:01:13,75.00
01/01/2000,00:01:14,75.00
01/01/2000,00:01:15,75.00
01/01/2000,00:01:16,75.00
01/01/2000,00:01:17,75.00
01/01/2000,00:01:18,75.00
01/01/2000,00:01:19,75.00
01/01/2000,00:01:20,75.00
01/01/2000,00:01:21,74.00
01/01/2000,00:01:22,74.00
01/01/2000,00:01:23,74.00
01/01/2000,00:01:24,74.00
01/01/2000,00:01:25,74.00
01/01/2000,00:01:26,74.00
01/01/2000,00:01:27,74.00
01/01/2000,00:01:28,74.00
01/01/2000,00:01:29,74.00
01/01/2000,00:01:30,74.00
01/01/2000,00:01:31,74.00
01/01/2000,00:01:32,74.00
01/01/2000,00:01:33,74.00
01/01/2000,00:01:34,74.00
01/01/2000,00:01:35,74.00
01/01/2000,00:01:36,74.00
01/01/2000,00:01:37,74.00
01/01/2000,00:01:38,74.00
01/01/2000,00:01:39,74.00
01/01/2000,00:01:40,74.00
01/01/2000,00:01:41,74.00
01/01/2000,00:01:42,73.00
01/01/2000,00:01:43,73.00
01/01/2000,00:01:44,73.00
01/01/2000,00:01:45,73.00
01/01/2000,00:01:46,73.00
01/01/2000,00:01:47,73.00
01/01/2000,00:01:48,73.00
01/01/2000,00:01:49,73.00
01/01/2000,00:01:50,73.00
01/01/2000,00:01:51,73.00
01/01/2000,00:01:52,73.00
01/01/2000,00:01:53,73.00
01/01/2000,00:01:54,73.00
01/01/2000,00:01:55,73.00
01/01/2000,00:01:56,73.00
01/01/2000,00:01:57,73.00
01/01/2000,00:01:58,73.00
01/01/2000,00:01:59,73.00
01/01/2000,00:02:00,73.00
01/01/2000,00:02:01,73.00
01/01/2000,00:02:02,73.00
01/01/2000,00:02:03,73.00
01/01/2000,00:02:04,73.00
01/01/2000,00:02:05,73.00
01/01/2000,00:02:06,73.00
01/01/2000,00:02:07,72.00
01/01/2000,00:02:08,72.00
01/01/2000,00:02:09,72.00
01/01/2000,00:02:10,72.00
01/01/2000,00:02:11,72.00
01/01/2000,00:02:12,72.00
01/01/2000,00:02:13,72.00
01/01/2000,00:02:14,72.00
01/01/2000,00:02:15,72.00
01/01/2000,00:02:16,72.00
01/01/2000,00:02:17,72.00
01/01/2000,00:02:18,72.00
01/01/2000,00:02:19,72.00
01/01/2000,00:02:20,72.00
01/01/2000,00:02:21,72.00
01/01/2000,00:02:22,72.00
01/01/2000,00:02:23,72.00
01/01/2000,00:02:24,72.00
01/01/2000,00:02:25,72.00
01/01/2000,00:02:26,72.00
01/01/2000,00:02:27,72.00
01/01/2000,00:02:28,72.00
01/01/2000,00:02:29,72.00
01/01/2000,00:02:30,72.00
01/01/2000,00:02:31,72.00
01/01/2000,00:02:32,72.00
01/01/2000,00:02:33,72.00
01/01/2000,00:02:34,72.00
01/01/2000,00:02:35,72.00
01/01/2000,00:02:36,71.00
01/01/2000,00:02:37,71.00
01/01/2000,00:02:38,72.00
01/01/2000,00:02:39,71.00
01/01/2000,00:02:40,71.00
01/01/2000,00:02:41,71.00
01/01/2000,00:02:42,71.00
01/01/2000,00:02:43,71.00
01/01/2000,00:02:44,71.00
01/01/2000,00:02:45,71.00
01/01/2000,00:02:46,71.00
01/01/2000,00:02:47,71.00
01/01/2000,00:02:48,71.00
01/01/2000,00:02:50,71.00
01/01/2000,00:02:51,71.00
01/01/2000,00:02:52,71.00
01/01/2000,00:02:53,71.00
01/01/2000,00:02:54,71.00
01/01/2000,00:02:55,71.00
01/01/2000,00:02:56,71.00
01/01/2000,00:02:57,71.00
01/01/2000,00:02:58,71.00
01/01/2000,00:02:59,71.00
01/01/2000,00:03:00,71.00
01/01/2000,00:03:01,71.00
01/01/2000,00:03:02,71.00
01/01/2000,00:03:03,71.00
01/01/2000,00:03:04,71.00
01/01/2000,00:03:05,71.00
01/01/2000,00:03:06,71.00
01/01/2000,00:03:07,71.00
01/01/2000,00:03:08,71.00
01/01/2000,00:03:09,70.00
01/01/2000,00:03:10,71.00
01/01/2000,00:03:11,70.00
01/01/2000,00:03:12,70.00
01/01/2000,00:03:13,70.00
01/01/2000,00:03:14,70.00
01/01/2000,00:03:15,70.00
01/01/2000,00:03:16,70.00
01/01/2000,00:03:17,70.00
01/01/2000,00:03:18,70.00
01/01/2000,00:03:19,70.00
01/01/2000,00:03:20,70.00
01/01/2000,00:03:21,70.00
01/01/2000,00:03:22,70.00
01/01/2000,00:03:23,70.00
01/01/2000,00:03:24,70.00
01/01/2000,00:03:25,70.00
01/01/2000,00:03:26,70.00
01/01/2000,00:03:27,70.00
01/01/2000,00:03:28,70.00
01/01/2000,00:03:29,70.00
01/01/2000,00:03:30,70.00
01/01/2000,00:03:31,70.00
01/01/2000,00:03:32,70.00
01/01/2000,00:03:33,70.00
01/01/2000,00:03:34,70.00
01/01/2000,00:03:35,70.00
01/01/2000,00:03:36,70.00
01/01/2000,00:03:37,70.00
01/01/2000,00:03:38,70.00
01/01/2000,00:03:39,70.00
01/01/2000,00:03:40,70.00
01/01/2000,00:03:41,70.00
01/01/2000,00:03:42,70.00
01/01/2000,00:03:43,70.00
01/01/2000,00:03:44,70.00
01/01/2000,00:03:45,70.00
01/01/2000,00:03:46,70.00
01/01/2000,00:03:47,70.00
01/01/2000,00:03:48,70.00
01/01/2000,00:03:49,70.00
01/01/2000,00:03:50,70.00
01/01/2000,00:03:51,70.00
01/01/2000,00:03:52,70.00
01/01/2000,00:03:53,70.00
01/01/2000,00:03:54,70.00
01/01/2000,00:03:55,69.00
01/01/2000,00:03:56,70.00
