data,hora,umidade_%
01/01/2000,00:00:01,95.00
01/01/2000,00:00:02,94.00
01/01/2000,00:00:03,94.00
01/01/2000,00:00:04,93.00
01/01/2000,00:00:05,92.00
01/01/2000,00:00:06,92.00
01/01/2000,00:00:07,91.00
01/01/2000,00:00:08,91.00
01/01/2000,00:00:09,90.00
01/01/2000,00:00:10,90.00
01/01/2000,00:00:11,89.00
01/01/2000,00:00:12,89.00
01/01/2000,00:00:13,88.00
01/01/2000,00:00:14,88.00
01/01/2000,00:00:15,88.00
01/01/2000,00:00:16,87.00
01/01/2000,00:00:17,87.00
01/01/2000,00:00:18,87.00
01/01/2000,00:00:19,87.00
01/01/2000,00:00:20,86.00
01/01/2000,00:00:21,86.00
01/01/2000,00:00:22,86.00
01/01/2000,00:00:23,86.00
01/01/2000,00:00:24,86.00
01/01/2000,00:00:25,85.00
01/01/2000,00:00:26,85.00
01/01/2000,00:00:27,85.00
01/01/2000,00:00:28,85.00
01/01/2000,00:00:29,85.00
01/01/2000,00:00:30,85.00
01/01/2000,00:00:31,85.00
01/01/2000,00:00:32,85.00
01/01/2000,00:00:33,84.00
01/01/2000,00:00:34,84.00
01/01/2000,00:00:35,84.00
01/01/2000,00:00:36,84.00
01/01/2000,00:00:37,84.00
01/01/2000,00:00:38,84.00
01/01/2000,00:00:39,84.00
01/01/2000,00:00:40,84.00
01/01/2000,00:00:41,84.00
01/01/2000,00:00:42,84.00
01/01/2000,00:00:43,84.00
01/01/2000,00:00:44,83.00
01/01/2000,00:00:45,83.00
01/01/2000,00:00:46,83.00
01/01/2000,00:00:47,83.00
01/01/2000,00:00:48,83.00
01/01/2000,00:00:49,83.00
01/01/2000,00:00:50,83.00
01/01/2000,00:00:51,83.00
01/01/2000,00:00:52,83.00
01/01/2000,00:00:53,83.00
01/01/2000,00:00:54,83.00
01/01/2000,00:00:55,83.00
01/01/2000,00:00:56,83.00
01/01/2000,00:00:57,83.00
01/01/2000,00:00:58,83.00
01/01/2000,00:00:59,83.00
01/01/2000,00:01:00,83.00
01/01/2000,00:01:01,83.00
01/01/2000,00:01:02,83.00
01/01/2000,00:01:03,83.00
01/01/2000,00:01:04,82.00
01/01/2000,00:01:05,82.00
01/01/2000,00:01:06,82.00
01/01/2000,00:01:07,82.00
01/01/2000,00:01:08,82.00
01/01/2000,00:01:09,82.00
01/01/2000,00:01:10,82.00
01/01/2000,00:01:11,82.00
01/01/2000,00:01:12,82.00
01/01/2000,00:01:13,82.00
01/01/2000,00:01:14,82.00
01/01/2000,00:01:15,82.00
01/01/2000,00:01:16,82.00
01/01/2000,00:01:17,82.00
01/01/2000,00:01:18,82.00
01/01/2000,00:01:19,82.00
01/01/2000,00:01:20,82.00
01/01/2000,00:01:21,82.00
01/01/2000,00:01:22,81.00
01/01/2000,00:01:23,82.00
01/01/2000,00:01:24,81.00
01/01/2000,00:01:25,81.00
01/01/2000,00:01:26,81.00
01/01/2000,00:01:27,81.00
01/01/2000,00:01:28,81.00
01/01/2000,00:01:29,81.00
01/01/2000,00:01:30,81.00
01/01/2000,00:01:31,81.00
01/01/2000,00:01:32,81.00
01/01/2000,00:01:33,81.00
01/01/2000,00:01:34,81.00
01/01/2000,00:01:35,81.00
01/01/2000,00:01:36,81.00
01/01/2000,00:01:37,81.00
01/01/2000,00:01:38,81.00
01/01/2000,00:01:39,81.00
01/01/2000,00:01:40,81.00
01/01/2000,00:01:41,81.00
01/01/2000,00:01:42,81.00
01/01/2000,00:01:43,81.00
01/01/2000,00:01:44,81.00
01/01/2000,00:01:45,81.00
01/01/2000,00:01:46,81.00
01/01/2000,00:01:47,81.00
01/01/2000,00:01:48,81.00
01/01/2000,00:01:49,81.00
01/01/2000,00:01:50,81.00
01/01/2000,00:01:51,81.00
01/01/2000,00:01:52,81.00
01/01/2000,00:01:53,81.00
01/01/2000,00:01:54,81.00
01/01/2000,00:01:55,81.00
01/01/2000,00:01:56,80.00
01/01/2000,00:01:57,80.00
01/01/2000,00:01:58,80.00
01/01/2000,00:01:59,80.00
01/01/2000,00:02:00,80.00
01/01/2000,00:02:01,80.00
01/01/2000,00:02:02,80.00
01/01/2000,00:02:03,80.00
01/01/2000,00:02:04,80.00
01/01/2000,00:02:05,80.00
01/01/2000,00:02:06,80.00
01/01/2000,00:02:07,80.00
01/01/2000,00:02:08,80.00
01/01/2000,00:02:09,80.00
01/01/2000,00:02:10,80.00
01/01/2000,00:02:11,80.00
01/01/2000,00:02:12,80.00
01/01/2000,00:02:13,80.00
01/01/2000,00:02:14,80.00
01/01/2000,00:02:15,80.00
01/01/2000,00:02:16,80.00
01/01/2000,00:02:17,80.00
01/01/2000,00:02:18,80.00
01/01/2000,00:02:19,80.00
01/01/2000,00:02:20,80.00
01/01/2000,00:02:21,80.00
01/01/2000,00:02:22,80.00
01/01/2000,00:02:23,80.00
01/01/2000,00:02:24,80.00
01/01/2000,00:02:25,80.00
01/01/2000,00:02:26,80.00
01/01/2000,00:02:27,80.00
01/01/2000,00:02:28,80.00
01/01/2000,00:02:29,80.00
01/01/2000,00:02:30,80.00
01/01/2000,00:02:31,80.00
01/01/2000,00:02:32,80.00
01/01/2000,00:02:33,80.00
01/01/2000,00:02:34,80.00
01/01/2000,00:02:35,80.00
01/01/2000,00:02:36,80.00
01/01/2000,00:02:37,80.00
01/01/2000,00:02:38,80.00
01/01/2000,00:02:39,80.00
01/01/2000,00:02:40,80.00
01/01/2000,00:02:41,80.00
01/01/2000,00:02:42,80.00
01/01/2000,00:02:43,80.00
01/01/2000,00:02:44,80.00
01/01/2000,00:02:45,80.00
01/01/2000,00:02:46,80.00
01/01/2000,00:02:47,80.00
01/01/2000,00:02:48,80.00
01/01/2000,00:02:49,80.00
01/01/2000,00:02:50,80.00
01/01/2000,00:02:52,80.00
01/01/2000,00:02:53,80.00
01/01/2000,00:02:54,80.00
01/01/2000,00:02:55,80.00
01/01/2000,00:02:56,80.00
01/01/2000,00:02:57,80.00
01/01/2000,00:02:58,79.00
01/01/2000,00:02:59,79.00
01/01/2000,00:03:00,79.00
01/01/2000,00:03:01,80.00
01/01/2000,00:03:02,79.00
01/01/2000,00:03:03,79.00
01/01/2000,00:03:04,79.00
01/01/2000,00:03:05,79.00
01/01/2000,00:03:06,79.00
01/01/2000,00:03:07,79.00
01/01/2000,00:03:08,79.00
01/01/2000,00:03:09,79.00
