data,hora,umidade_%
01/01/2000,00:00:01,25.70
01/01/2000,00:00:02,25.80
01/01/2000,00:00:03,25.80
01/01/2000,00:00:04,25.80
01/01/2000,00:00:05,25.80
01/01/2000,00:00:06,25.80
01/01/2000,00:00:07,25.80
01/01/2000,00:00:08,25.80
01/01/2000,00:00:09,25.80
01/01/2000,00:00:10,25.80
01/01/2000,00:00:11,25.80
01/01/2000,00:00:13,25.80
01/01/2000,00:00:14,25.80
01/01/2000,00:00:15,25.80
01/01/2000,00:00:16,25.80
01/01/2000,00:00:17,25.80
01/01/2000,00:00:18,25.80
01/01/2000,00:00:19,25.80
01/01/2000,00:00:20,25.80
01/01/2000,00:00:21,25.80
01/01/2000,00:00:22,25.80
01/01/2000,00:00:23,25.80
01/01/2000,00:00:24,25.80
01/01/2000,00:00:25,25.90
01/01/2000,00:00:26,25.90
01/01/2000,00:00:27,25.90
01/01/2000,00:00:28,25.90
01/01/2000,00:00:29,25.80
01/01/2000,00:00:30,25.80
01/01/2000,00:00:31,25.80
01/01/2000,00:00:32,25.90
01/01/2000,00:00:34,25.90
01/01/2000,00:00:35,25.90
01/01/2000,00:00:36,25.90
01/01/2000,00:00:37,25.90
01/01/2000,00:00:38,25.90
01/01/2000,00:00:39,25.90
01/01/2000,00:00:40,25.90
01/01/2000,00:00:41,25.90
01/01/2000,00:00:42,25.90
01/01/2000,00:00:43,25.90
01/01/2000,00:00:44,25.90
01/01/2000,00:00:45,25.90
01/01/2000,00:00:46,25.80
01/01/2000,00:00:47,25.90
01/01/2000,00:00:48,25.90
01/01/2000,00:00:49,25.90
01/01/2000,00:00:50,25.90
01/01/2000,00:00:51,25.90
01/01/2000,00:00:52,25.90
01/01/2000,00:00:54,25.90
01/01/2000,00:00:55,25.90
01/01/2000,00:00:56,25.90
01/01/2000,00:00:57,25.90
01/01/2000,00:00:58,25.90
01/01/2000,00:00:59,25.90
01/01/2000,00:01:00,25.90
01/01/2000,00:01:01,25.90
01/01/2000,00:01:02,25.90
01/01/2000,00:01:03,25.90
01/01/2000,00:01:04,25.90
